296,328,7772.77,7946.2
赵姨娘,贾政,妾,1,0.7
赵嬷嬷,贾琏,乳母,1,0.6
赵嬷嬷,贾宝玉,乳母,1,0.6
迎春乳母,贾迎春,乳母,1,0.6
通判傅试,贾政,门生,1,0.6
邢夫人,贾赦,妻,1,1
邢岫烟,邢忠,女,1,0.9
邢岫烟,薛蝌,妻,1,1
邢德全,邢夫人,弟,1,0.8
邢忠,邢夫人,兄,1,0.8
金彩,金鸳鸯,父亲,1,0.9
金文翔,金鸳鸯,兄,1,0.8
金氏,贾璜,妻,1,1
金荣,胡氏,子,1,0.9
金鸳鸯,贾母,丫鬟,1,0.6
钱槐,赵姨娘,表兄,1,0.8
钱槐,贾环,奴仆,1,0.6
银蝶,尤氏,丫鬟,1,0.6
锄药,贾宝玉,奴仆,1,0.6
长安原任守备,李公子,父亲,1,0.9
隆儿,贾琏,奴仆,1,0.6
雪雁,林黛玉,丫鬟,1,0.6
香菱,薛蟠,妾,1,0.7
鲍二,贾琏,奴仆,1,0.6
鹦鹉,贾母,丫鬟,1,0.6
麝月,贾宝玉,丫鬟,1,0.6
龄官,贾蔷,女友,1,0.9
